customer_id,age,gender,income,product_importance,cost_of_product,discount_offered,customer_rating,target,joining_date,random_noise,constant_feature,feature_corr
1,56,Female,33242.52776581293,low,976.0,27.0,5.0,0,2020-07-01,0.4667162340051821,1,110.42130597589808
2,69,Male,22848.91664484443,medium,662.0,27.0,4.0,0,2020-07-25,0.5063669775262545,1,138.20414983249478
3,46,Male,11556.687470055014,high,856.0,3.0,1.0,1,2020-09-12,0.17721878507168543,1,89.77296153514402
4,32,Male,11527.152449815583,medium,525.0,21.0,1.0,1,2020-08-22,-0.9120541021539065,1,67.54033523129455
5,60,Male,18622.161898629893,medium,646.0,11.0,4.0,1,2020-12-20,-1.0280964078219301,1,114.71820464131258
6,25,Male,50742.07680489579,low,401.0,44.0,3.0,0,2020-01-03,-0.09711820107514263,1,49.35312426491079
7,38,Male,19345.2912834094,high,680.0,2.0,2.0,0,2020-07-26,0.14891007584637195,1,76.22077927821539
8,56,Male,10388.228025941145,low,448.0,21.0,1.0,0,2020-07-15,-0.679440922931713,1,113.01484185566657
9,36,Male,19479.705674238114,medium,931.0,43.0,2.0,0,2020-12-06,0.4233419486085754,1,70.16815054547514
10,40,Male,19218.684101656723,low,148.0,1.0,4.0,0,2020-05-04,2.0807659040391893,1,82.26858958777642
11,28,Male,5719.0425187149385,low,173.0,23.0,3.0,0,2020-05-17,-1.7443307192782576,1,53.21233791237415
12,28,Male,21436.54739939372,low,803.0,33.0,3.0,0,2020-12-04,0.5822444775637607,1,54.86774282278486
13,41,Male,19624.473904860886,low,,26.0,3.0,0,2020-01-25,-0.0659746208908102,1,83.24149511055884
14,53,Male,31197.810105461773,medium,455.0,,4.0,0,2020-03-08,0.4506555553346548,1,108.0803771295855
15,57,Male,55518.859202971464,low,681.0,40.0,,0,2020-03-01,-0.4307147004602912,1,111.1919974072378
16,41,Male,38687.91339156781,low,701.0,0.0,5.0,1,2020-01-29,-0.146059885047167,1,87.29007358083032
17,20,Male,19255.57011959883,low,,7.0,2.0,0,2020-01-19,0.1295004510080991,1,38.20501687366558
18,39,Male,12666.766677852347,low,,22.0,5.0,0,2020-06-19,-0.3016338835352606,1,75.37563504494443
19,19,Male,79752.22353897979,low,842.0,37.0,5.0,0,2020-03-14,-1.5205413173698987,1,39.00542978354651
20,41,Male,22688.403570368544,low,394.0,5.0,3.0,0,2020-03-01,-0.23391503064445315,1,81.30341309283709
21,61,Male,22180.40778420445,medium,740.0,21.0,3.0,0,2020-06-01,-1.416433628196194,1,121.00789537492051
22,47,Male,21762.36664782921,medium,891.0,24.0,,0,2020-10-02,0.6531931105803095,1,95.19128811513944
23,55,Male,24319.70923920714,medium,412.0,17.0,,0,2020-02-17,-1.8655451010781223,1,106.94540861914439
24,19,Male,20492.61372366652,low,711.0,16.0,,0,2020-07-29,1.0286543794558898,1,34.595731200050594
25,38,Male,16533.9148624744,low,937.0,11.0,2.0,0,2020-12-08,0.42956300020347943,1,74.80515326971354
26,50,Male,16756.986074588236,high,908.0,5.0,4.0,0,2020-05-18,0.4333886157338947,1,102.15580347890665
27,29,Male,21668.68402869542,medium,281.0,25.0,4.0,1,2020-04-19,-2.1643098678478396,1,56.89188941317443
28,39,Male,16785.78396205096,low,,26.0,2.0,1,2020-07-01,-0.3285994380915563,1,81.19831336905723
29,61,Male,15422.412825762287,low,,7.0,,0,2020-01-28,1.1535634286598602,1,124.40202952234378
30,42,Male,23230.35514484781,low,463.0,18.0,2.0,0,2020-07-15,-0.5186079790302947,1,84.56589236901497
31,66,Male,19389.973688813097,low,,59.0,,0,2020-07-09,-1.0780621499637142,1,132.67944771874951
32,44,Male,46723.21803441574,low,,41.0,4.0,1,2020-11-10,-0.6366700950057121,1,88.56400525003372
33,59,Male,5851.861506237508,medium,642.0,0.0,2.0,0,2020-02-20,-0.06827762263933808,1,118.3194354573642
34,45,Male,1900782.9370491118,medium,695.0,56.0,3.0,0,2020-05-28,-0.8513704503128111,1,89.26751660504364
